speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies,Fresh,Brack,Column1
Abactochromis labrosus,accepted name,2347,Abactochromis labrosus,Teleostei,Cichliformes,Cichlidae,Abactochromis,NA,TRUE,1,0,
Abramis brama,accepted name,268,Abramis brama,Teleostei,Cypriniformes,Leuciscidae,Abramis,Freshwater bream,TRUE,1,1,
Acanthocleithron chapini,accepted name,9474,Acanthocleithron chapini,Teleostei,Siluriformes,Mochokidae,Acanthocleithron,NA,TRUE,1,0,
Acanthopagrus berda,accepted name,5526,Acanthopagrus berda,Teleostei,Eupercaria/misc,Sparidae,Acanthopagrus,Goldsilk seabream,TRUE,1,1,
Acanthopagrus vagus,accepted name,65558,Acanthopagrus vagus,Teleostei,Eupercaria/misc,Sparidae,Acanthopagrus,Wandering seabream,TRUE,1,1,
Acapoeta tanganicae,accepted name,11272,Acapoeta tanganicae,Teleostei,Cypriniformes,Cyprinidae,Acapoeta,NA,TRUE,1,0,
Acentrogobius caninus,accepted name,4894,Acentrogobius caninus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Tropical sand goby,TRUE,1,1,
Acentrogobius nebulosus,accepted name,7228,Acentrogobius nebulosus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Shadow goby,TRUE,1,1,
Acentrogobius simplex,accepted name,9921,Acentrogobius simplex,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Bagamoyo goby,TRUE,1,1,
Acentrogobius therezieni,accepted name,9922,Acentrogobius therezieni,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,NA,TRUE,1,0,
Acentrogobius viridipunctatus,accepted name,15776,Acentrogobius viridipunctatus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Spotted green goby,TRUE,1,1,
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,1,1,
Afronandus sheljuzhkoi,accepted name,9916,Afronandus sheljuzhkoi,Teleostei,Ovalentaria/misc,Polycentridae,Afronandus,Fourspine leaffish,TRUE,1,0,
Agonostomus catalai,accepted name,61407,Agonostomus catalai,Teleostei,Mugiliformes,Mugilidae,Agonostomus,Comoro mullet,TRUE,1,1,
Agonostomus telfairii,accepted name,7860,Agonostomus telfairii,Teleostei,Mugiliformes,Mugilidae,Agonostomus,Fairy mullet,TRUE,1,1,
Alburnus alburnus,accepted name,4730,Alburnus alburnus,Teleostei,Cypriniformes,Leuciscidae,Alburnus,Bleak,FALSE,1,1,
Alestes ansorgii,accepted name,66488,Alestes ansorgii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes baremoze,accepted name,2405,Alestes baremoze,Teleostei,Characiformes,Alestidae,Alestes,Silversides,TRUE,1,0,
Alestes dentex,accepted name,5229,Alestes dentex,Teleostei,Characiformes,Alestidae,Alestes,Characin,TRUE,1,0,
Alestes inferus,accepted name,64866,Alestes inferus,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes liebrechtsii,accepted name,11092,Alestes liebrechtsii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes macrophthalmus,accepted name,5230,Alestes macrophthalmus,Teleostei,Characiformes,Alestidae,Alestes,Torpedo robber,TRUE,1,0,
Alestes stuhlmannii,accepted name,11098,Alestes stuhlmannii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestion rapax,accepted name,69272,Alestion rapax,Teleostei,Characiformes,Alestidae,Alestion,NA,TRUE,1,0,
Alestopetersius bifasciatus,accepted name,11130,Alestopetersius bifasciatus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius brichardi,accepted name,11105,Alestopetersius brichardi,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius caudalis,accepted name,11107,Alestopetersius caudalis,Teleostei,Characiformes,Alestidae,Alestopetersius,Yellowtail tetra,TRUE,1,0,
Alestopetersius compressus,accepted name,11108,Alestopetersius compressus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius conspectus,accepted name,66431,Alestopetersius conspectus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius hilgendorfi,accepted name,11109,Alestopetersius hilgendorfi,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius leopoldianus,accepted name,11110,Alestopetersius leopoldianus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius nigropterus,accepted name,11112,Alestopetersius nigropterus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius smykalai,accepted name,5244,Alestopetersius smykalai,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius tumbensis,accepted name,11131,Alestopetersius tumbensis,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alloblennius jugularis,accepted name,6046,Alloblennius jugularis,Teleostei,Blenniiformes,Blenniidae,Alloblennius,Jugular blenny,TRUE,1,1,
Alosa algeriensis,accepted name,65105,Alosa algeriensis,Teleostei,Clupeiformes,Alosidae,Alosa,North African shad,TRUE,1,1,
Alosa alosa,accepted name,101,Alosa alosa,Teleostei,Clupeiformes,Alosidae,Alosa,Allis shad,TRUE,1,1,
Alosa fallax,accepted name,5355,Alosa fallax,Teleostei,Clupeiformes,Alosidae,Alosa,Twaite shad,TRUE,1,1,
Alticorpus geoffreyi,accepted name,62418,Alticorpus geoffreyi,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus macrocleithrum,accepted name,2191,Alticorpus macrocleithrum,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus mentale,accepted name,2192,Alticorpus mentale,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus peterdaviesi,accepted name,2194,Alticorpus peterdaviesi,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus profundicola,accepted name,2193,Alticorpus profundicola,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Altolamprologus calvus,accepted name,8134,Altolamprologus calvus,Teleostei,Cichliformes,Cichlidae,Altolamprologus,NA,TRUE,1,0,
Altolamprologus compressiceps,accepted name,8135,Altolamprologus compressiceps,Teleostei,Cichliformes,Cichlidae,Altolamprologus,NA,TRUE,1,0,
Amarginops platus,accepted name,9263,Amarginops platus,Teleostei,Siluriformes,Claroteidae,Amarginops,NA,TRUE,1,0,
Amatolacypris trevelyani,accepted name,6099,Amatolacypris trevelyani,Teleostei,Cypriniformes,Cyprinidae,Amatolacypris,Border barb,TRUE,1,0,
Ambassis ambassis,accepted name,61467,Ambassis ambassis,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Commerson's glassy,TRUE,1,1,
Ambassis dussumieri,accepted name,9899,Ambassis dussumieri,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Malabar glassy perchlet,TRUE,1,1,
Ambassis fontoynonti,accepted name,9900,Ambassis fontoynonti,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,NA,TRUE,1,0,
Ambassis gymnocephalus,accepted name,4806,Ambassis gymnocephalus,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Bald glassy,TRUE,1,1,
Ambassis natalensis,accepted name,8016,Ambassis natalensis,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Slender glassy,TRUE,1,1,
Ambassis urotaenia,accepted name,9235,Ambassis urotaenia,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Banded-tail glassy perchlet,TRUE,1,1,
Amphilius atesuensis,accepted name,2448,Amphilius atesuensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius athiensis,accepted name,65747,Amphilius athiensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius brevis,accepted name,9406,Amphilius brevis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius chalei,accepted name,64266,Amphilius chalei,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius crassus,accepted name,68052,Amphilius crassus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius cryptobullatus,accepted name,50994,Amphilius cryptobullatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius dimonikensis,accepted name,64047,Amphilius dimonikensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius frieli,accepted name,67859,Amphilius frieli,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius grandis,accepted name,66217,Amphilius grandis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius jacksonii,accepted name,9407,Amphilius jacksonii,Teleostei,Siluriformes,Amphiliidae,Amphilius,Marbled mountain catfish,TRUE,1,0,
Amphilius kakrimensis,accepted name,12813,Amphilius kakrimensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius kivuensis,accepted name,9408,Amphilius kivuensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius korupi,accepted name,64050,Amphilius korupi,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius krefftii,accepted name,66218,Amphilius krefftii,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius lamani,accepted name,9409,Amphilius lamani,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius laticaudatus,accepted name,9411,Amphilius laticaudatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,Broadtail mountain catfish,TRUE,1,0,
Amphilius lentiginosus,accepted name,9412,Amphilius lentiginosus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius longirostris,accepted name,9413,Amphilius longirostris,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius lujani,accepted name,68053,Amphilius lujani,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius maesii,accepted name,9414,Amphilius maesii,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius mamonekenensis,accepted name,64051,Amphilius mamonekenensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius natalensis,accepted name,8381,Amphilius natalensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,Natal mountain catfish,TRUE,1,0,
Amphilius nigricaudatus,accepted name,66735,Amphilius nigricaudatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius opisthophthalmus,accepted name,9416,Amphilius opisthophthalmus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius pedunculus,accepted name,68049,Amphilius pedunculus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius platychir,accepted name,2449,Amphilius platychir,Teleostei,Siluriformes,Amphiliidae,Amphilius,Mountain barbel,TRUE,1,0,
Amphilius pulcher,accepted name,9417,Amphilius pulcher,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius rheophilus,accepted name,9418,Amphilius rheophilus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius ruziziensis,accepted name,68048,Amphilius ruziziensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
